,sigma,env: rf,env: S0
2019-03-01,0.005697370602217884,9.566757324419584e-05,2803.69
2019-03-08,0.005690942986550793,9.605496495423971e-05,2743.07
2019-03-15,0.005690510787745926,9.644231900329814e-05,2822.48
2019-03-22,0.005690215328841396,9.760415525894572e-05,2800.71
2019-03-29,0.005690188031148411,9.52801438660611e-05,2834.4
2019-04-05,0.005689686831807362,9.489267681228597e-05,2892.74
2019-04-12,0.005681933145838362,9.450517207554299e-05,2907.41
2019-04-26,0.005681701069062748,9.489267681228597e-05,2939.88
2019-05-03,0.005681004361590377,9.489267681228597e-05,2945.64
2019-05-10,0.005679044947212851,9.489267681228597e-05,2881.4
2019-05-17,0.00567146165307395,9.37300495240656e-05,2859.53
2019-05-24,0.005665283966626103,9.295477615278713e-05,2826.06
2019-05-31,0.005665217604698439,9.217935190308779e-05,2752.06
2019-06-07,0.005665285488597468,9.024013079850235e-05,2873.34
2019-06-14,0.005665337466509299,8.75236346555841e-05,2886.98
2019-06-21,0.0056603537155829374,8.480528519427821e-05,2950.46
2019-06-28,0.005655522994119941,8.558214573084477e-05,2941.76
2019-07-05,0.005646242500629223,8.868807407758084e-05,2990.41
2019-07-12,0.005637532884391526,8.480528519427821e-05,3013.77
2019-07-19,0.005636598678267137,8.286247091815468e-05,2976.61
2019-07-26,0.005628723873300376,8.363971031166706e-05,3025.86
2019-08-02,0.005628705431388915,8.286247091815468e-05,2932.05
2019-08-09,0.005629382305178718,8.052984262252316e-05,2918.65
2019-08-16,0.005628838916738576,8.052984262252316e-05,2888.68
2019-08-23,0.00823564654783735,8.130753713309069e-05,2847.11
2019-08-30,0.007239855302309824,8.24737943578846e-05,2926.46
2019-09-06,0.006638693318189937,8.052984262252316e-05,2978.71
2019-09-13,0.006108915853484469,7.81958479070255e-05,3007.39
2019-09-20,0.006108766453645359,7.663909151545134e-05,2992.07
2019-09-27,0.006107831432837376,7.469229028500557e-05,2961.79
2019-10-04,0.006102881091504247,6.806604185438658e-05,2952.01
2019-10-11,0.006083997585019423,6.923618085541428e-05,2970.27
