,sigma,theta,nu,env: rf,env: S0
2022-11-25,0.008862553493266291,0.00022973227622148694,0.7729039447893015,0.0001617511456717402,4026.12
2022-12-02,0.008432554926051612,5.299812874261342e-05,0.7724128928080652,0.0001522137812646207,4071.7
2022-12-09,0.009837683549387905,0.002775960802426006,0.7674500075726302,0.0001483924345326848,3934.38
2022-12-16,0.011321354389269338,0.00010743273872107751,0.7724638418548221,0.00015335947102901315,3852.36
2022-12-23,0.009137087092191408,0.0006325797326934215,0.7723232711924105,0.00014801009822229538,3844.82
2022-12-30,0.009874301671916347,0.0009544612359783639,0.7723016060609451,0.00016022670055493293,3839.5
2023-01-06,0.009608777456121322,8.94673078857347e-05,0.7724827590445476,0.0001678431007052783,3895.08
2023-01-13,0.007702933309133411,6.257981146169468e-05,0.7728174751042025,0.00017772270657090417,3999.09
2023-01-20,0.008391044139572755,2.71453819924949e-05,0.7725583545483323,0.00018189517720434978,3972.61
2023-01-27,0.007982325594302276,7.71612694224703e-05,0.7724903632658212,0.00017886108646547605,4070.56
2023-02-03,0.007359894793922064,0.00017410411168093467,0.7726196663684749,0.00017886108646547605,4136.48
2023-02-10,0.009025445099697483,0.00010470254445193283,0.7726151630745653,0.0001807576638885866,4090.46
2023-02-17,0.011471195698492656,-8.528069386736076e-06,0.7726720593474672,0.00017999914123811855,4079.09
2023-02-24,0.008695562733908547,0.00016035092051059572,0.7725537743202334,0.000181516042177865,3970.04
2023-03-03,0.008395694551428058,-0.00013263055429378154,0.7723964305963358,0.00018416923014275,4045.64
2023-03-10,0.009620351717748511,0.001766337859323199,0.7596897815785613,0.00018644198605977103,3861.59
2023-03-17,0.010355410793326286,0.0010628798293601614,0.7696765456880197,0.0001674626262520018,3916.64
2023-03-24,0.009314286794801452,0.00013373933354492878,0.772414372665938,0.00016632098486990543,3970.99
2023-03-31,0.007474873555699926,0.0001163593224154306,0.772030253008882,0.00018379031143078706,4109.31
2023-04-14,0.0075984994830365134,0.00010908815950113013,0.7681634797960654,0.00016670156834108774,4137.64
2023-04-21,0.007112483800359949,6.8699471053659015e-06,0.7725785652182827,0.00013115087748549747,4133.52
2023-04-28,0.006715054725165332,-1.766603308423566e-05,0.7720166365096555,0.00016898430614076254,4169.48
2023-05-05,0.00719710328205952,1.1789069162686988e-05,0.7723209101571459,0.00021587045473081545,4136.25
2023-05-12,0.007296148331369118,5.7436711050332516e-05,0.7727916152596606,0.00022338133879551414,4124.08
2023-05-19,0.0061702047832747865,8.158527698010733e-05,0.7987121206610446,0.00021699799022467658,4191.98
2023-05-26,0.006882831769656042,2.729970943861541e-05,0.772756143260836,0.000232001390587655,4205.45
2023-06-02,0.006759663405654045,0.00019324455446247438,0.772667737488754,0.0002042005349363052,4282.37
2023-06-09,0.006274846791538921,4.810198155379791e-05,0.772325770519812,0.0002030693720416199,4298.86
2023-06-16,0.007372365598790912,7.308013708878517e-05,0.7671028441010758,0.00020042874257408805,4409.59
2023-06-23,0.006303308992550678,0.00010861117637275368,0.77276563613408,0.00020005136690737224,4348.33
2023-06-30,0.006864619285311781,6.967655114097235e-05,0.7727105360174139,0.00020269224637736727,4450.38
2023-07-07,0.007350907885193588,0.0001691910621448659,0.7729615779847918,0.00020570825281929217,4398.95
