,mu,omega,alpha[1],beta[1]
2022-03-14,0.0628937178001163,0.0546894946422161,0.13817498710435996,0.7990195466893457
2022-03-15,0.06755524110498642,0.05338409150772799,0.14139822042861883,0.799046603411106
2022-03-16,0.07038641332319943,0.05383645339189423,0.14753556118737957,0.7940092239854528
2022-03-17,0.07961128846558814,0.055123684983081254,0.14884329999362886,0.7918042953826268
2022-03-18,0.08113210042300932,0.05539547121954031,0.14871992054621114,0.7908659546788708
2022-03-21,0.07940007983666802,0.05653077391048945,0.14831466764824802,0.7885638823806993
2022-03-22,0.08474989651592486,0.05723321391431797,0.14849256857124205,0.7871823338519847
2022-03-23,0.08412303022741226,0.056824221519618176,0.1485496226617914,0.7877083619222958
2022-03-24,0.08437115624250431,0.05732152827654905,0.15134458392116742,0.7846040439546959
2022-03-25,0.08097043576330631,0.05824351338355208,0.1516983137251187,0.7833284690574145
2022-03-28,0.08280008402912138,0.0597309393109802,0.15388978612081278,0.7786531765630105
2022-03-29,0.08609954608643569,0.05969666748514935,0.15465135001130842,0.7781840128272693
2022-03-30,0.08308484860280024,0.06126880536828271,0.15781598152738446,0.7726530078469044
2022-03-31,0.07460450646943816,0.05627890163168582,0.14986654772515579,0.787994006238119
2022-04-01,0.0689665091845773,0.056477479237528445,0.15154971113612792,0.7864807909733037
2022-04-04,0.07105773319092497,0.05748550686905524,0.15154923372493548,0.7848210297769542
2022-04-05,0.06611005317425155,0.05659328893746062,0.15008135474802636,0.7880592355680862
2022-04-06,0.06132555921982807,0.05670262108445936,0.1499087095995927,0.7880924798315051
2022-04-07,0.057810068503569276,0.05743005622909919,0.1497402558927854,0.7867566180437723
2022-04-08,0.05663774661361057,0.0583131359113825,0.15043485742983065,0.7841297840007272
2022-04-11,0.05074767092557934,0.05450268971864927,0.14470536725536756,0.7964309622037992
2022-04-12,0.050745267827343406,0.05472680330931829,0.14367668485983703,0.7962190199877066
2022-04-13,0.048283683491912664,0.05486934116951274,0.1447065027259001,0.7957435755033965
2022-04-14,0.04419390378461978,0.05469626476941142,0.14515153835819894,0.796011074363897
2022-04-18,0.045858135719413926,0.05489105142145772,0.14381932065803998,0.7960491922548808
2022-04-19,0.05414500591351757,0.054277429494212735,0.14432089467898987,0.7978696006250017
2022-04-20,0.04993265356042541,0.054004191911318174,0.14209447363588576,0.7994740814272243
2022-04-21,0.05134204690118233,0.053721975133259145,0.1436606288495445,0.800041870473042
2022-04-22,0.042681096265499915,0.05605996962350531,0.1615417918895831,0.7878552186166528
2022-04-25,0.04160727450651021,0.054220118537955254,0.15340881895968475,0.7960661227212964
2022-04-26,0.04071276314918529,0.05570427908648063,0.16596989796615214,0.7868254900461888
2022-04-27,0.04043184268209918,0.05378551364366072,0.15797754080352594,0.7946644376372404
2022-04-28,0.04162303205743935,0.05420700628895718,0.1632522646969452,0.7911317174794542
2022-04-29,0.04263492055896912,0.05643697293081283,0.1806270089303587,0.7780061972690673
2022-05-02,0.041592491120809975,0.054399414068231546,0.1725814517818364,0.7856856653705321
2022-05-03,0.04387581960383231,0.0539880063179919,0.16839585325389148,0.7885913200861038
2022-05-04,0.04667566490259105,0.05281902081397344,0.17135263571529064,0.7886596199878365
2022-05-05,0.04213594589771713,0.05286227382308029,0.17918732535205414,0.7842650878621372
2022-05-06,0.04022850709351598,0.05235260312460127,0.17483558799918347,0.787125874218701
2022-05-09,0.04060691352922997,0.05118742407576912,0.17577762552644585,0.7888423199102417
2022-05-10,0.04097475271779155,0.050255358828180954,0.16968494055990413,0.7934596332040329
2022-05-11,0.0556662958051959,0.04212602487276408,0.15391033952791278,0.8175474364765308
2022-05-12,0.051277890766383526,0.03898226616057194,0.14352289401700938,0.8294969489771234
2022-05-13,0.041927681490628296,0.03253221954808497,0.1304171908386746,0.8499889431262457
2022-05-16,0.043833477428734474,0.034346408639139556,0.1328548764630711,0.8449953552323181
2022-05-17,0.05611007642437105,0.03218271990277502,0.12744245562790393,0.8529016509443652
2022-05-18,0.054922658032367296,0.027161552070590768,0.1224414265597049,0.8661050279254612
2022-05-19,0.04646331955086937,0.021770544179994047,0.10571737605091786,0.8870415200761603
2022-05-20,0.04682380147076793,0.024862858682746798,0.11173708747662306,0.8775383261010762
2022-05-23,0.036558534899190906,0.025061827878953745,0.11335204434604128,0.876580062254032
2022-05-24,0.039680129636783704,0.027821365131496266,0.11731085077648357,0.8695205540278765
2022-05-25,0.03815416846768412,0.030427020111707975,0.12069409491570088,0.8631523938662261
2022-05-26,0.038802499312554015,0.03120150007624277,0.12114976085966024,0.8621319939861644
2022-05-27,0.04017981492615606,0.03072547576884623,0.11998984173736378,0.8643503898394184
2022-05-31,0.040810889213818834,0.03266149602772802,0.12206814770555316,0.8598739355935631
2022-06-01,0.039068610027413644,0.03475454763884928,0.1249466289369949,0.8545640050956466
2022-06-02,0.04497928191647945,0.035132332035574615,0.12535714909059084,0.854099781370305
2022-06-03,0.03370663095666605,0.03650856781500384,0.1287674259112139,0.8502983149541615
2022-06-06,0.03561254719649217,0.038380162235849176,0.1299303263055629,0.8466945508410897
2022-06-07,0.0372398198300673,0.039860059670914244,0.13127745855400283,0.8435442287756987
2022-06-08,0.03760051713655352,0.04083961812805579,0.13240570781376126,0.841304583937601
2022-06-09,0.029577378473195796,0.03652572467633587,0.1254865836891055,0.8532688596070473
2022-06-10,0.025260730219267266,0.03344902383080676,0.12352346941355255,0.8596401976537259
2022-06-13,0.02279448272223035,0.03394281699906383,0.1335397636771246,0.8528797276505556
2022-06-14,0.02312721982883691,0.03308615944012544,0.12991255033995378,0.8560691329902937
2022-06-15,0.02714056672078986,0.03309936162210679,0.12881698141643513,0.8566433443975429
2022-06-16,0.025546976507586153,0.03466609274142412,0.13773128343125712,0.8485579372393959
2022-06-17,0.04130589634228586,0.03144365861642816,0.12693228436096485,0.8609397591943405
2022-06-21,0.037155314908027176,0.03120170263626519,0.12942378693029466,0.8603756343434625
2022-06-22,0.031152354828241937,0.03199034238928231,0.1281696856845086,0.8602126231047049
2022-06-23,0.0321689998434026,0.03328172132649946,0.1284222613176375,0.8582787514903315
2022-06-24,0.02942000997497208,0.03207992051388627,0.1272473612780143,0.8617337092636286
2022-06-27,0.025543774744245944,0.03271107474022545,0.12581866981024503,0.8617875771541015
2022-06-28,0.02075489032955991,0.032449700867705586,0.12499570257380081,0.862827270668473
2022-06-29,0.019723477043477423,0.03336138808995554,0.1251049060245632,0.861170359371061
2022-06-30,0.01702375221903285,0.03461948623691121,0.12698295610531302,0.857793182792191
2022-07-01,0.014393855074324498,0.03609265242094248,0.12935489314262094,0.8539930096510585
2022-07-05,0.009251992385026149,0.03879257574723447,0.13368981474624544,0.8472682427462527
2022-07-06,0.011411662989067492,0.04159167570760954,0.13923458870959657,0.8391480873492726
2022-07-07,0.012236916564455582,0.04111424645648401,0.1389052372809612,0.8399107247544898
2022-07-08,0.019284755116476728,0.04375822954232883,0.14292001422940268,0.8335446074383773
2022-07-11,0.00815317405018651,0.04542461690291848,0.14548801622413285,0.8303759775416355
2022-07-12,0.003762620488211457,0.046078159950483706,0.14716534429741487,0.8279602231484237
2022-07-13,0.004743572593264977,0.04761540014712728,0.15078034493953155,0.8227446027190779
2022-07-14,0.0029742371203576178,0.04940858013991594,0.15604878613807438,0.815742173162386
2022-07-15,0.012150781697440303,0.044667040612544576,0.14633137856926184,0.8297360586796259
2022-07-18,0.01352195023822075,0.044498306244932284,0.14556206238437863,0.8300459403293953
2022-07-19,0.04040468035299194,0.03265566829950407,0.12035443835046586,0.8654224041487576
2022-07-20,0.032137974640122344,0.024088376031968218,0.09820255860214742,0.8930300714514172
2022-07-21,0.025661438811730608,0.022994651618563008,0.09364614560855337,0.898130234612892
2022-07-22,0.02224423464149477,0.025923490507045493,0.10077525241085512,0.8888305783600632
2022-07-25,0.009040443237783932,0.025668653918205445,0.09959621404228514,0.8902147086752978
2022-07-26,0.0036794190061219464,0.027290868222374632,0.10227157763393063,0.8863513461834718
