,mu,omega,alpha[1],gamma[1],beta[1]
2022-12-07,0.061558675801485746,0.04590290986929899,0.10622231244976792,0.2211326798658539,0.7694070911846353
2022-12-08,0.0614778207593718,0.04621584916588182,0.10597088319399374,0.2205052728442881,0.7693608966247432
2022-12-09,0.060547364211950325,0.046546797131143604,0.10575180791736269,0.22052142756942247,0.7691731686125348
2022-12-12,0.06029340633939187,0.04671438155202712,0.10594622963884391,0.2202133838655324,0.7690696278365976
2022-12-13,0.06004450744009048,0.0470468690312569,0.10584918983047249,0.22029531851446052,0.7686915259065711
2022-12-14,0.059497953110909815,0.04743682427610701,0.1057812164230483,0.2209709874481334,0.7680725705831206
2022-12-15,0.058547747941916875,0.0471106598654006,0.1054692044148253,0.22085693142140397,0.7697095414841082
2022-12-16,0.05893017871088952,0.04722887048971307,0.10524451100617337,0.22030902577438816,0.7698733552727728
2022-12-19,0.057833733819252546,0.047262713027741786,0.10570192264227814,0.21779391746203736,0.770412541022396
2022-12-20,0.05718650353572721,0.04745358710324841,0.1055377508312439,0.21573331868122073,0.7709527173774668
2022-12-21,0.058170847024480034,0.04762318942265137,0.10541327143766571,0.21581409592939518,0.7708202458900638
2022-12-22,0.05770885072523929,0.047781485258081936,0.10493139685397335,0.21601407204751855,0.7710571081367162
2022-12-23,0.057382394699133456,0.047949070201240646,0.10454126236712377,0.21485749722936026,0.7714442104566902
2022-12-27,0.057074290553076695,0.048168236699239246,0.10441795777932997,0.21423460827511853,0.7714014506485444
2022-12-28,0.05642561650880618,0.04829932622872894,0.1041494022996468,0.21463369333195573,0.7714197428135716
2022-12-29,0.05658578319734177,0.04839107532138246,0.10409694936608474,0.21538925447787546,0.7712180107999678
2022-12-30,0.055844524520322576,0.04859987928091846,0.10372175006101232,0.21545627706124057,0.7711614606100617
2023-01-03,0.05586804236387187,0.04878529787217591,0.1035989162628125,0.2160579974491672,0.7707720233248567
2023-01-04,0.055296540471365806,0.04888171465757256,0.10393814647348222,0.21539791924346693,0.770637242350237
2023-01-05,0.05372194257908229,0.048799670119635485,0.10347620750680743,0.21511778246199587,0.7714103335698888
2023-01-06,0.0542408801222381,0.04865641739639152,0.10341556383864445,0.2164964968736784,0.771565996338335
2023-01-09,0.05323977192113035,0.04859508516031581,0.10221189834372958,0.21624610621534573,0.7725171630290906
2023-01-10,0.05287891892291059,0.04853960870939698,0.10133734174224074,0.21631798650368664,0.7730835447124745
