,mu,omega,alpha[1],beta[1],nu
2024-04-15,0.11407399538657159,0.0343566319584262,0.16789245249491422,0.8180566225592958,7.354333966683848
2024-04-16,0.11250853024948755,0.03431953475410794,0.1668714830255562,0.8188940212517862,7.327485211720064
2024-04-17,0.11228190923140072,0.03437322918511502,0.16620698666683661,0.819228504630027,7.3560866700052525
2024-04-18,0.11187631389547578,0.03429812717736266,0.16529986482611816,0.8198333852047471,7.368527266778783
2024-04-19,0.11171628328329176,0.034331703409243026,0.1651165884322488,0.8199257305061721,7.41025635493938
2024-04-22,0.11211324802991196,0.034240616462354524,0.1646601189754848,0.8202400991181088,7.44804266258283
2024-04-23,0.1129522185017668,0.03418972248492838,0.1645262547243299,0.8203450833392805,7.502803747780504
2024-04-24,0.11185266251231234,0.034166709054877786,0.1642340936144066,0.8206224637921855,7.45549435372612
2024-04-25,0.11176597632658838,0.03393793782260696,0.16353756711739487,0.8212434814073881,7.478230688369767
2024-04-26,0.11276796609883531,0.03370555563518848,0.16295863861870133,0.8218052950445386,7.533509642280655
2024-04-29,0.11271006085527528,0.03342902198348942,0.1623994624103348,0.8223177723711586,7.53681862496209
2024-04-30,0.11144883659857714,0.03336168186201238,0.16191187336156715,0.8230189079220813,7.59953133595697
2024-05-01,0.11115425226632396,0.033119044726384377,0.16127987950108447,0.8234885343039803,7.630725724926544
2024-05-02,0.11240886004160186,0.03308778126179017,0.16123560237451623,0.8235366484335316,7.6143737242031895
2024-05-03,0.11344152558709045,0.03312212631772618,0.16181072418071152,0.8229252476491813,7.682261101226444
2024-05-06,0.1135828556151405,0.03312447257498055,0.16183036689002955,0.8228584407134321,7.6888763407925635
2024-05-07,0.11416575646823579,0.03307939403544183,0.1617261249785539,0.8227354842175025,7.689063414199513
2024-05-08,0.11514715793929445,0.03307415065837407,0.16102551680766303,0.8236599257606985,7.5111204778250755
2024-05-09,0.11585533977639575,0.033068777027869915,0.1616493692160183,0.822842699055502,7.56948404065534
2024-05-10,0.11637948484020755,0.03315682791560053,0.1626755200248071,0.8216364160618406,7.599633604666077
2024-05-13,0.11628251831191785,0.033378141485488705,0.16433764941594992,0.8197678494081656,7.646520742896537
2024-05-14,0.11814490972680625,0.033837134165893526,0.16668771936707136,0.8176132213474356,7.778075269178525
2024-05-15,0.11831631388163857,0.03384053966247516,0.1653154578058863,0.8188468877696863,7.802858228628922
2024-05-16,0.11769237565183037,0.03366058716324214,0.16523273634521565,0.8189621704892984,7.793175618254111
2024-05-17,0.1172361092770352,0.03351648748869273,0.1654100830419637,0.818907567158994,7.748649964649396
